seq,sin,cos,tan,cot
1,0.841470985,0.540302306,1.557407725,0.785398163
2,0.909297427,-0.416146837,-2.185039863,1.107148718
3,0.141120008,-0.989992497,-0.142546543,1.249045772
4,-0.756802495,-0.653643621,1.157821282,1.325817664
5,-0.958924275,0.283662185,-3.380515006,1.373400767
6,-0.279415498,0.960170287,-0.291006191,1.405647649
7,0.656986599,0.753902254,0.871447983,1.428899272
8,0.989358247,-0.145500034,-6.799711455,1.446441332
9,0.412118485,-0.911130262,-0.452315659,1.460139106
10,-0.544021111,-0.839071529,0.648360827,1.471127674
11,-0.999990207,0.004425698,-225.9508465,1.48013644
12,-0.536572918,0.843853959,-0.635859929,1.487655095
13,0.420167037,0.907446781,0.463021133,1.494024436
14,0.990607356,0.136737218,7.244606616,1.499488862
15,0.65028784,-0.759687913,-0.855993401,1.504228163
16,-0.287903317,-0.95765948,0.300632242,1.508377517
17,-0.961397492,-0.275163338,3.493915645,1.512040504
18,-0.750987247,0.660316708,-1.137313712,1.515297822
19,0.14987721,0.988704618,0.151589471,1.518213265
20,0.912945251,0.408082062,2.237160944,1.520837931
21,0.836655639,-0.54772926,-1.527498528,1.523213224
22,-0.008851309,-0.999960826,0.008851656,1.525373047
23,-0.846220404,-0.53283302,1.588153083,1.527345431
24,-0.905578362,0.424179007,-2.134896698,1.529153748
25,-0.13235175,0.991202812,-0.133526407,1.53081764
